svznr,zstart,klasse,nummer,gpsx1,gpsy1,RI,RII,DTV2024,DTVSV
74211108,TM,B,297,9.249015000000004,48.60025199999996,B 297/L 1208B Neckartenzlingen,B 297/B 312 Neckartailfingen,10720,554
70191223,TM,L,1125,8.953207999999998,48.94546800000002,B 10/L 1125 bei Vaihingen an der Enz,"L 1106/L 1125/K 1697 Kleinglattbach, Kreisverkehr",8801,1371
70231416,TM,K,1842,9.496138000000004,48.912972,"K1841/K1842, WN*Cottenweiler;bei","K1842/K1908, WN*Oberweissach (Mitte)",345,11
71221413,TM,K,1845,9.401701999999998,48.89706699999997,"K1845/K1847, WN*Leutenbach","B14/K1845, WN*Nellmersbach;bei",5208,80
71221417,TM,K,1847,9.379529000000083,48.895029000010965,"L1114/K1847, WN*Weiler z.St. (Mitte)","K1845/K1847, WN*Leutenbach",3974,118
70221416,TM,K,1848,9.360556,48.90387700000005,"L1127/K1848, WN*Gollenhof;beim","L1114/K1848, WN*Weiler z.St. (West)",304,11
71221407,TM,K,1851,9.424949000000003,48.88221499999999,"K1851/K1914, WN*Höfen;bei","L1120/K1851, WN*Hertmannsweiler (Mitte)",3998,110
71211404,TM,K,1855,9.249659,48.832948,"K 9500/K 1855 Kreisgr. b.i Stgt.-Neugereut, SK S/R-M-K","K1855/K1910, WN*Schmiden (West)",9945,170
71221408,TM,K,1858,9.349461,48.84011099999994,"B14/K1858, WN*Korb, \""Korb\"" (Anschlußstelle)","K1858/K1912, WN*Korb,Waiblinger-/Winnender Str.",11814,316
71221409,TM,K,1859,9.332060000000004,48.826149,"K1859/K1859 Seitenarm, WN*Waiblingen, \""Talaue\"" (Querspange)",L 1193/K 1859 bei WN*Beinstein,4814,284
71221402,TM,K,1862,9.378262,48.80981100000002,"K1862/K1864, WN*Beutelsbach","K 1862/ K 1866 Beutelsbach, Kreisverkehr",12093,355
72221408,TM,K,1865,9.454851000000096,48.7824700000109,"K1862/K1865, WN*Schnait","L1150/K1865, WN*Manolzweiler;bei, \""Goldboden\""",1425,29
71221424,TM,K,1866,9.398668000000004,48.81786399999995,"K 1866/K 1912, WN*Großheppach","K1866 Seitenarm, WN*Remshalden, AS Remsh.-West (Quersp.)",4730,65
71221425,TM,K,1866,9.409010999999994,48.81746600000002,"K1866 Seitenarm, WN*Remshalden, AS Remsh.-West (Quersp.)","K 1866/K 1913, WN*Grunbach",5411,118
71221411,TM,K,1869,9.442381000000005,48.84590600000001,"L1140/K1869, WN*Steinach (Süd)","L1140/K1869, bei WN*Birkmannsweiler",528,30
71221427,TM,K,1870,9.456821,48.85397499999996,"K1870, WN*Bretzenacker","K1870/K1915, WN*Oppelsbohm;bei, \""Volkhardsmühle\""",744,19
71221429,TM,K,1872,9.491649,48.85224399999996,"K1872/K1916, WN*Birkenweißbuch (Mitte)","K1872/K1873, WN*Vorderweißbuch",526,71
71221430,TM,K,1874,9.496485000000003,48.84899800000005,"K1874/K1916, WN*Birkenweißbuch;östlich","K1873/K1874, WN*Streich;bei",1550,70
71221414,TM,K,1875,9.496897000000002,48.86295000000001,"K1873/K1875, WN*Necklinsberg;bei","K1875, WN*Necklinsberg",920,54
70221419,TM,K,1908,9.496250000000002,48.92241800000001,"K1841/K1908, WN*Aichholzhof;beim, \""Seemühle\""","K1838/K1908, WN*Oberweissach (West)",6606,179
71221431,TM,K,1913,9.415630999999996,48.82209000000002,"K 1866/K 1913, WN*Grunbach","K1868/K1913, WN*Breuningsweiler;bei",2379,46
72221413,TM,K,1865,9.466112000000098,48.77716800001083,"L1150/K1865, WN*Manolzweiler;bei, \""Goldboden\""","K1209/K1865, WN/ES*Kreisgrenze bei Manolzweiler-\""Goldboden\""",3373,72
70221216,TM,L,1080,9.49126200000011,48.898151000011005,"L1080/K1841, WN*Allmersbach i.T.;bei","L1080/L1120, WN*Königsbronnhof;beim, \""Königsbronnhofkreuzg.\""",6852,291
70221424,TM,K,1841,9.480378000000108,48.902192000011,"L1080/K1841, WN*Allmersbach i.T.;bei","K1841/K1908, WN*Aichholzhof;beim, \""Seemühle\""",2494,72
70221103,TM,B,14,9.434316999999997,48.92627899999997,"B14/ K1907, WN*Waldrems","B14/L1080, WN*Backnang, \""Spritnase\""",20230,1106
70221102,TM,B,14,9.433920999999994,48.93611000000004,"B14/L1080, WN*Backnang, \""Spritnase\""","B 14/L 1115/K 1832 AS WN*Backnang, \""Krähenbachkreuzung\""",25396,2108
