JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT;
2025;DEZ.;1188;Altmannsdorfer Straße;B;224;Zentrum;LkwÄ;278;376;355;385;367;123;86;557;Di,02.12.;
2025;DEZ.;1188;Altmannsdorfer Straße;B;224;Vösendorf;Kfz;8946;10360;10516;10066;11426;8792;4994;11703;Fr,19.12.;
2025;DEZ.;1188;Altmannsdorfer Straße;B;224;Vösendorf;LkwÄ;305;411;405;413;408;127;102;552;Di,02.12.;
2025;DEZ.;1188;Altmannsdorfer Straße;B;224;Gesamt;Kfz;17818;20644;21005;20153;22289;17700;9809;22698;Fr,19.12.;
2025;DEZ.;1188;Altmannsdorfer Straße;B;224;Gesamt;LkwÄ;583;787;760;799;775;250;188;1109;Di,02.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Zentrum;Kfz;9190;10278;10168;10123;11096;8797;6307;11209;Fr,19.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Zentrum;LkwÄ;370;510;485;520;496;166;90;683;Di,02.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Leopoldau;Kfz;8963;10204;10096;10066;10943;8222;5840;11200;Di,16.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Leopoldau;LkwÄ;357;498;477;501;510;147;77;656;Mi,03.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Gesamt;Kfz;18153;20482;20264;20189;22039;17019;12147;22223;Fr,19.12.;
2025;DEZ.;1189;Shuttleworthstraße;B;229;Gesamt;LkwÄ;728;1007;962;1022;1006;313;167;1329;Do,04.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Kagran;Kfz;5731;6398;6323;6287;6978;5871;3746;7112;Mi,17.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Kagran;LkwÄ;172;228;234;225;231;81;64;291;Mo,01.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Floridsdorf;Kfz;5213;5767;5782;5637;6305;5220;3625;6468;Fr,19.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Floridsdorf;LkwÄ;133;185;194;181;185;48;36;268;Mo,01.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Gesamt;Kfz;10944;12164;12105;11924;13283;11092;7371;13553;Fr,19.12.;
2025;DEZ.;1190;Angyalföldstraße;B;3;Gesamt;LkwÄ;305;412;428;406;417;128;99;559;Mo,01.12.;
2025;DEZ.;1191;Wientalstraße;B;1;Zentrum;Kfz;25629;27400;26560;26977;30352;26827;19887;31903;Fr,19.12.;
2025;DEZ.;1191;Wientalstraße;B;1;Zentrum;LkwÄ;566;712;655;720;757;444;220;974;*Do,04.12.;
2025;DEZ.;1191;Wientalstraße;B;1;St. Pölten;Kfz;23653;25329;24448;24937;28208;23667;18856;28875;Fr,05.12.;
