C-SDB_TIT-0;C-W96-0;C-C93-2;F-ANK;F-UEB
201807;W96-9;83;17192;42465
201807;W96-9;84;16644;41554
201807;W96-9;85;14390;34711
201807;W96-9;53;13165;30191
201807;W96-9;56;9832;24646
201807;W96-9;60;8271;19810
201807;W96-9;62;7184;16843
201807;W96-9;94;5872;14938
201807;W96-9;08;2741;6439
201807;W96-9;67;35087;72172
201807;W96-9;11;4289;10849
201807;W96-9;86;1484;2784
201807;W96-9;13;4229;10825
201807;W96-9;14;14572;37627
201807;W96-9;15;2557;6067
201807;W96-9;87;3018;7267
201807;W96-9;18;2832;6479
201807;W96-9;49;377;938
201807;W96-9;19;8627;21658
201807;W96-9;20;19423;49679
201807;W96-9;21;11913;25543
201807;W96-9;22;3913;8386
201807;W96-9;23;7625;19132
201807;W96-9;51;1989;3922
201807;W96-9;88;832;1504
201807;W96-9;89;1146;1909
201807;W96-9;63;1066;2480
201807;W96-9;90;619;1836
201807;W96-9;61;1292;3106
201807;W96-9;25;13298;31542
201807;W96-9;26;3465;7674
201807;W96-9;27;16901;29733
201807;W96-9;28;2815;6414
201807;W96-9;29;12405;25808
201807;W96-9;91;14610;32814
201807;W96-9;95;7947;21267
201807;W96-9;31;6290;13192
201807;W96-9;32;15861;38185
201807;W96-9;10;2821;5344
201807;W96-9;52;2336;5464
201807;W96-9;33;24463;58401
201807;W96-9;34;872;2197
201807;W96-9;17;6729;15116
201807;W96-9;64;14560;27608
201807;W96-9;59;7618;15309
201807;W96-9;65;9197;17745
201807;W96-9;09;9781;16870
201807;W96-9;36;6362;13206
201807;W96-9;92;6587;14694
201807;W96-9;38;7253;14018
201807;W96-9;39;49296;112501
201807;W96-9;96;8432;21086
201807;W96-9;16;30363;68958
201807;W96-9;93;959;2741
201807;W96-9;57;4479;11475
201807;W96-9;58;4830;11407
201807;W96-9;37;11160;25897
201807;W96-9;40;4350;9694
201808;W96-9;01;7303;15518
201808;W96-9;70;7409;13799
201808;W96-9;71;13638;25069
201808;W96-9;72;13860;25435
201808;W96-9;73;20912;37426
201808;W96-9;74;14338;26411
201808;W96-9;75;20819;37571
201808;W96-9;76;13895;27747
201808;W96-9;77;7582;16311
201808;W96-9;80;31941;75584
201808;W96-9;81;16007;42558
201808;W96-9;82;17606;44579
201808;W96-9;83;16828;40991
201808;W96-9;84;14863;37469
201808;W96-9;85;14599;35389
201808;W96-9;53;13479;32003
201808;W96-9;56;13584;38757
201808;W96-9;60;7163;17465
201808;W96-9;62;5500;13573
201808;W96-9;94;4867;11781
201808;W96-9;08;2803;6032
201808;W96-9;67;35158;68342
201808;W96-9;11;2703;6915
201808;W96-9;86;1429;2302
201808;W96-9;13;3240;7938
201808;W96-9;14;20702;54824
201808;W96-9;15;3711;9149
201808;W96-9;87;3210;7420
201808;W96-9;18;2709;6234
201808;W96-9;49;332;797
201808;W96-9;19;10521;25300
201808;W96-9;20;44871;123887
201808;W96-9;21;15079;34348
201808;W96-9;22;4124;8525
201808;W96-9;23;6679;16906
201808;W96-9;51;3071;5051
201808;W96-9;88;738;1309
201808;W96-9;89;959;1769
201808;W96-9;63;1129;2825
201808;W96-9;90;815;2545
201808;W96-9;61;1353;3121
201808;W96-9;25;13334;32853
201808;W96-9;26;1765;4419
201808;W96-9;27;18209;33109
201808;W96-9;28;3532;8732
201808;W96-9;29;17544;36500
201808;W96-9;91;15967;36902
201808;W96-9;95;9516;25118
201808;W96-9;31;3644;8574
201808;W96-9;32;13513;32055
201808;W96-9;10;3761;6570
201808;W96-9;52;2985;6351
201808;W96-9;33;34673;88893
201808;W96-9;34;710;2002
201808;W96-9;17;7647;15871
201808;W96-9;64;13999;28398
201808;W96-9;59;6059;12345
201808;W96-9;65;7670;13598
201808;W96-9;09;9143;16222
201808;W96-9;36;6204;12734
201808;W96-9;92;7365;15825
201808;W96-9;38;8692;16485
201808;W96-9;39;41303;96819
201808;W96-9;96;11474;28919
201808;W96-9;16;32138;73906
201808;W96-9;93;1625;5329
201808;W96-9;57;4027;10449
201808;W96-9;58;4508;11181
201808;W96-9;37;8839;20780
201808;W96-9;40;3667;9152
201809;W96-9;01;7751;15246
201809;W96-9;70;8636;16703
201809;W96-9;71;14586;27236
201809;W96-9;72;14377;26362
201809;W96-9;73;24193;41335
201809;W96-9;74;16946;31211
201809;W96-9;75;23038;42886
201809;W96-9;76;15068;29379
201809;W96-9;77;7725;15639
201809;W96-9;80;29216;66924
201809;W96-9;81;15551;40754
201809;W96-9;82;17981;47905
201809;W96-9;83;17277;42366
201809;W96-9;84;14867;38891
201809;W96-9;85;13589;35089
201809;W96-9;53;14476;34230
201809;W96-9;56;4605;11787
201809;W96-9;60;7892;19956
201809;W96-9;62;6497;14879
201809;W96-9;94;5579;13870
201809;W96-9;08;3596;8287
201809;W96-9;67;28431;51419
201809;W96-9;11;2680;7226
201809;W96-9;86;833;1786
201809;W96-9;13;3913;9597
201809;W96-9;14;13866;35072
201809;W96-9;15;2104;4958
201809;W96-9;87;2462;5847
201809;W96-9;18;2653;5893
201809;W96-9;49;307;779
201809;W96-9;19;7416;19892
201809;W96-9;20;18773;47067
201809;W96-9;21;13593;30608
201809;W96-9;22;5372;10121
201809;W96-9;23;7802;20189
201809;W96-9;51;3094;5454
201809;W96-9;88;622;1422
201809;W96-9;89;718;1601
201809;W96-9;63;1115;2619
201809;W96-9;90;733;2198
201809;W96-9;61;1203;2761
201809;W96-9;25;9381;24259
201809;W96-9;26;2327;5793
201809;W96-9;27;10428;20211
201809;W96-9;28;2854;6556
201809;W96-9;29;9603;20604
201809;W96-9;91;12746;32102
201809;W96-9;95;3152;7878
201809;W96-9;31;5030;12571
201809;W96-9;32;16571;39524
